Name,img,description
Chico State Nursing Club,https://se-infra-imageserver2.azureedge.net/clink/images/ed9cb83d-607b-44a5-b283-ab286d6a9afbfc39632d-9178-405b-ba4d-db1ff0a05479.jpg?preset=med-sq,"Our mission is to connect Nursing students to Pre-Nursing students at California State University, Chico, to assist Pre-Nursing students' successful transition into the School of Nursing. We aim to provide students with informal spaces to develop social bonds and a mentorship through their journey. We aim to create opportunities to participate in a nursing network which shares information and experiences."
Chico State Political Science Society,https://se-infra-imageserver2.azureedge.net/clink/images/3bf5710a-b416-4443-a169-d9924e1f09b54f025516-d270-4e56-b990-36107fb8b200.jpg?preset=med-sq,"The Chico State Political Science Society is a non-partisan club with the goal of promoting political efficacy, a scholastic and professional network, and providing opportunities for community involvement."
Chico State Pride,https://se-infra-imageserver2.azureedge.net/clink/images/4f242daa-0e3b-4702-a73e-481532df9545dcc8d0a2-0c3f-481d-a442-6cb31942b5bd.jpg?preset=med-sq,"Chico State Pride’s mission is to provide a safe place for all students on campus to respectfully discuss issues pertaining to the LGBTQ+ community and promote the dissemination of knowledge to the general student body. Pride strives to create leaders amongst the membership and to foster the inclusion of a diverse population representative of our community. We will structure the support to our members in the form of political advocacy, education, and socialization."
Chico State Republicans,https://se-infra-imageserver2.azureedge.net/clink/images/df8c71c8-b6cf-4cac-bd21-aa0efe4bd0a06c59d57e-0555-4e87-9b45-0707f40ea8f2.jpg?preset=med-sq,The place for Republicans and all thinkers in their Right minds at Chico State. We are a political and social organization dedicated to positive political discourse and the advancement of conservatism. Lets protect freedom and the constitution together! Check out what the Chico State Republicans are about!
Chico State UMatter,https://se-infra-imageserver2.azureedge.net/clink/images/ea55dbce-3183-440a-aef0-9d06824fd3f92dca9dc6-e365-4116-9cb2-2080bf007109.jpg?preset=med-sq,"UMatter is a comprehensive initiative that focuses on promoting positive mental health behaviors. The mission of the UMatter program is to… Advocate for people with mental illness. Educate people about resources. Converse about mental health and stigma. Embrace self-compassion, vulnerability and mistakes. Model compassion for others and bystander intervention. Since 2013, UMatter has been providing outreach for the CSU Chico Counseling center. The goal of the program is to raise awareness about emotional and physical self-care, and teach the necessary skills for students to make self-affirming choices in college, but also throughout their lifetime."
Chico State Women in Construction,https://se-infra-imageserver2.azureedge.net/clink/images/0b0269fd-b244-4afb-bfac-cd881665bf32ea3ee050-850b-46bd-89f0-7d7d140f78aa.jpg?preset=med-sq,"Created and developed by CM women for CM women. Our goal is to create a space for collaboration, outreach, and networking."
Child Development Student Association,https://se-infra-imageserver2.azureedge.net/clink/images/d6bcecc5-6033-449f-abc2-29e6ab0ebe7678306ef4-8e26-4fef-bca2-1ea92650f80c.png?preset=med-sq,"CDSA is an organized association dedicated to furthering the image of the Child Development Program through providing services to the campus and community. During meetings, presentations and speakers increase students' knowledge in the field of child development and provide a forum for receiving current information relating to career opportunities. In addition, CDSA serves as an informal advisory function for students in Child Development who seek assistance from their peers and an organization to facilitate specialization and the development of friendships among members."
Chinese Students and Scholars Association,https://se-infra-imageserver2.azureedge.net/clink/images/d9a03508-09f7-4243-a740-11e95ce4d765bd9d17e3-f753-4406-80dd-1c3ca2870452.jpg?preset=med-sq,"The mission of CSSA is to encourage all (especially new incoming) Chinese students and visiting scholars at CSU,Chico to get involved in organizing CSSA events and to join our organization!"
Christian Challenge,https://se-infra-imageserver2.azureedge.net/clink/images/6f4e526d-c436-4c33-bdee-e64ae35a7715388cacc6-5d9f-46da-b558-49999787754a.jpg?preset=med-sq,"Christian Challenge is a student organization at Chico State and Butte College that wants to help people connect with an authentic group of friends, explore what it means to take the next step in their relationship with Jesus and together find practical ways to change our world. We hope to create an environment where everyone feels welcome to come make new friends and explore spiritual things. We do this through worship and teaching, small group Bible studies, fun events, one-on-one discipleship, community service projects, retreats, conferences, and mission trips. Our mission statement is ""To Love God, love people and to develop multiplying disciples to reach the nations."" Join us for our next event, just check out our Facebook group at https://www.facebook.com/groups/189406091912/"
Circle K International,https://se-infra-imageserver2.azureedge.net/clink/images/be45c8f5-3a13-4c48-a23e-dd66dbbbda591ef5dadc-48c6-42d1-a495-c5d90ec9c4cb.jpg?preset=med-sq,"Circle K International is an international collegiate service organization and a sponsored leadership program of Kiwanis International. It is built on the three tenets: service, leadership, and fellowship. Our club is sponsored by the Kiwanis Club of Chico. We do community service in Chico and other Norcal cities, we fundraise for Circle K's preferred charities such as Pediatric Trauma Program and The Trevor Project, we foster leaders by promoting professionalism and business standards, and we meet people from other college's Circle K clubs all over California, Nevada, and Hawaii!"
Civil Engineering Honor Society,https://se-infra-imageserver2.azureedge.net/clink/images/c2fd25be-49f0-409b-93b5-0a8495815545daa44c4b-1b27-430e-aa2c-92ca23f5a2bd.jpg?preset=med-sq,"By recognizing outstanding students and graduates for their scholarship, character, practicality and sociability, we seek to foster excellence, connectivity and engagement among those in the civil engineering community to improve our world."
College of Business,https://se-infra-imageserver2.azureedge.net/clink/images/f4657ef4-4343-4726-b343-d628da62155a9cfc0543-ff65-47de-862d-c6e43749735b.JPG?preset=med-sq,"We offer a variety of excellent programs, student organizations, and faculty and staff. We give students the opportunity to learn the skills and knowledge that will help them be work-ready and be positive contributors to their community. "
Collegiate Sheepherders Association,https://se-infra-imageserver2.azureedge.net/clink/images/32f9b0a5-b8ef-4870-b75e-fcfb60ec5f66de05740c-f994-4065-8fd5-6917167dd232.jpg?preset=med-sq,"The purpose of this organization shall be to support the sheep and meat goat industries (at the college level and in the community) and disseminate information on current issues and industry practices, to the public and youth."
Community Action Volunteers in Education (CAVE),https://se-infra-imageserver2.azureedge.net/clink/images/ca1620dd-22eb-4775-889d-2f35a5b74e8920f57d97-c775-40c9-8202-9635779f0d67.JPG?preset=med-sq,"Founded in 1966, Community Action Volunteers in Education (CAVE) is the largest student-run organization on the Chico State campus. Each year, 100 student staff and three professional staff operate 16 different community service programs and support service learning classes. CAVE’s motto “Life is for Learning” supports our mission to provide students with meaningful volunteer opportunities, to develop student leaders, and to serve a broad base of community needs. Each year more than 2,000 student serve children, older adults, and special populations as well as projects benefiting the environment and animals. CAVE offers university credit and internships for students who participate as either volunteers or staff members"
Community Legal Information Clinic,https://se-infra-imageserver2.azureedge.net/clink/images/4f38ab2c-0ecf-442b-bfe4-46f162b8c59905963c59-8925-420f-9b09-68b7f760560a.jpg?preset=med-sq,"The Community Legal Information Clinic (CLIC) provides free legal information and assistance to the students, faculty, and staff of CSU, Chico, as well as the residents of the City of Chico and its surrounding communities. The center is staffed by more than 100 student interns each semester and four Department of Political Science faculty advisors. CLIC is comprised of eleven substantive law departments: Women’s Law; Family Law; Housing Law; Workers Rights Program; Penal Law; Disabled & the Law; Chico Consumer Protection Agency; Environmental Advocates; Misdemeanors; Tickets and Traffic Law; County Jail Law Project; and Student Legal Services/Juvenile Rights. CLIC’s twelfth program, Community Outreach, promotes its services to the campus and general communities. CLIC’s primary missions are to provide a practical internship experience and educate students and community members about their legal rights and responsibilities as citizens."
Comparative Religion and Humanities Society,https://se-infra-imageserver2.azureedge.net/clink/images/786178c2-b155-4422-b37a-ecaaea1e5f63d7d7119d-35d9-4042-b6c1-34421e7c3a97.jpg?preset=med-sq,"The Comparative Religion and Humanities Society (CRHS) is a non-sectarian CSU Chico group that helps interested students and professors further their studies of religion and the humanities in an informal, stimulating and fun environment. In addition to exploring cultural and religious traditions, ideas, and practices in historical and contemporary society, we provide opportunities for students, faculty, and members of various communities to share ideas and perspectives in a relaxed and respectful setting. Our membership includes majors, minors, and other interested students from CSU Chico and Butte Community College . Membership is open to those of any or no religious persuasion."
Computer Graphics Club,https://se-infra-imageserver2.azureedge.net/clink/images/a522d517-908d-40cd-b553-955e20b348c3d6930f85-ce52-4c34-a797-8bea272181a0.jpg?preset=med-sq,"A resource for CAGD majors and any other students interested in Animation Production and Game Development that focuses on educational events, social events, and industry interviews."
Council of Graduate Students,https://se-infra-imageserver2.azureedge.net/clink/images/c10134a2-a177-4fbf-b7f4-f6d6ec6d67960c2b9611-4dec-4f62-8e68-bb09d26f3f58.jpg?preset=med-sq,A dedicated group of graduate students working together to cultivate a graduate community and provide opportunities for professional and academic development at the graduate level.
Criminal Justice Student Association,https://se-infra-imageserver2.azureedge.net/clink/images/797b4f42-8d7c-4458-a088-934be51e7826b20587ce-012e-4bf7-b623-43c4d7dbfe12.png?preset=med-sq,"The Criminal Justice Student Association is a student-run organization that provides students with the opportunity to learn about the criminal justice system and its various different aspects. Prison tours, guest speakers, and volunteer opportunities are just a few of the activities that CJSA offers. The organization is open to all CSU, Chico students with an interest in Criminal Justice, not just Criminal Justice majors."
Crop Science and Horticulture Club,https://se-infra-imageserver2.azureedge.net/clink/images/35ccecfd-cbd4-48dc-a20d-31875a8528df1b78267f-3491-43b4-ae39-726410d01681.JPG?preset=med-sq,"The CSU, Chico Crop Science and Horticulture Club is a student-led organization designed to connect people together with a common interest in agriculture, crop science, and horticulture. We participate in a number of activities that help students become involved in the College of Agriculture as well as the Chico Community. This organization also assists students in networking with future employers in various Agriculture industries."
Cross-Cultural Leadership Center,https://se-infra-imageserver2.azureedge.net/clink/images/22c2261c-285e-4f5c-8ec4-e1648d5c2f10b6282e7d-89b9-46a3-a5b2-4d128fff40b1.jpg?preset=med-sq,"The Cross-Cultural Leadership Center values and respects the richness and understanding that diversity brings. The Center exists to create an environment in which all students, regardless of their ethnicity, culture, or differences, feel safe and respected. Through leadership development, cultural awareness, community education, and the creation of a constructive social change, the Cross-Cultural Leadership Center will contribute a positive, enriching, and memorable life experience to every student of CSU, Chico and its surroundings."
CRU,https://se-infra-imageserver2.azureedge.net/clink/images/66376a58-9827-411c-9e28-64c2fcdc110a2199bcaf-b75d-46b4-8be3-530adbaf8a7c.jpg?preset=med-sq,"We are a movement transformed by Jesus, impacting our campus and the world!"
CSU Chico Collegiate FFA,https://se-infra-imageserver2.azureedge.net/clink/images/750d4751-aeb5-4f5d-8bc0-09fedb467aa5d818bee3-d20d-4cdb-9e24-500ea95154a6.jpg?preset=med-sq,"To promote agriculture advocacy and involvement through community service and personal development, all while providing a professional and safe environment to expand our members' agricultural opportunities and knowledge."
"CSU, Chico Student Advisory Board on Campus Climate",https://se-infra-imageserver2.azureedge.net/clink/images/cfd9e470-2ed0-4dbc-bd11-30979653753a5abdedf4-65a4-43dd-9381-ad3a047a17ca.png?preset=med-sq,"California State University, Chico strives to provide an atmosphere that allows students to engage in learning inside and outside of the classroom. We aim to create collaborative living and learning experiences to encourage students’ appreciation of and engagement in diverse local, regional, and global communities of which we are all a part. The University is committed to ensuring a broad and inclusive community that values diversity and fosters inclusivity and mutual respect, in which all members embrace core values of academic excellence, open inquiry, free expression, and diversity. We embrace and encourage our community differences in age, ability, race, ethnicity, gender, gender identity/expression, nationality, religion, sexual orientation, genetic information, citizenship, military status, and other unique characteristics that allows our community to prosper. Campus Climate is defined broadly as “The current attitudes, behaviors and standards of faculty, staff, administrators and students concerning the level of respect for individual needs, abilities and potential"" (Susan Rankin, 2014, http://campusclimate.ucop.edu/what-is-campus-climate/). The Division of Student Affairs at CSU, Chico defines campus climate as, “The atmosphere of the university that reflects whether all students feel valued, validated, and treated with fairness and respect”. CSU, Chico is committed to addressing concerns with regard to campus climate and community engagement. In navigating these challenges, we believe students provide the best insight and are the greatest sounding board on the needs of their peers. The Student Advisory Board on Campus Climate is designed to provide a platform for discussion and solutions on the challenges and issues related to campus climate."
"CSU, Chico Upward Bound",https://se-infra-imageserver2.azureedge.net/clink/images/6d695cd6-7c60-425b-a2c2-66ec17d98507670ba651-0b85-4e8b-a45c-ec08311c2da8.JPG?preset=med-sq,"The Upward Bound Alumni Association at California State University, Chico! The purpose of this organization is to provide all participants with both an academic and social atmosphere that will enhance their college experience. This organization will achieve its purpose by providing academic support, community service, and social activities for its members. Furthermore, this organization will provide activities that will create an involvement with current Upward Bound Projects. With the help of the staff and each and every one of us, we will encourage our fellow Upward Bounders to explore their passion, confidence, and commitment in higher education. As alumnus of this 40 plus-year old program at Chico State we strive to be there for one another and help each other out in any way we can. With the help of the Alumni Association and staff we will achieve our goals. We come together to give back to the community, we come together to have fun, we come together to laugh, and we come together because we are a FAMILY."
Cycling,https://se-infra-imageserver2.azureedge.net/clink/images/a4757db7-bc30-433c-a342-424256b94f63f4c61427-2ae9-42be-a9f7-d6a049950c91.jpg?preset=med-sq,"Chico State Cycling Team members are dedicated to advancing riders in all disciplines of cycling. Our goal is to promote active participation and team unity while encouraging team members to be the best individuals they can be, whether on the pavement, dirt, or in class. All students and skill levels welcome! We will travel around Northern California to compete against schools from the Western Collegiate Cycling Association. Weekly meetings for Mountain Biking is held during the fall semester in Tehama 109 at 9pm every Tuesday. Weekly meetings for Road Biking is held during the spring semester in Tehama 117 at 6pm every Monday"
Delta Chi,https://se-infra-imageserver2.azureedge.net/clink/images/a1221fa6-fd67-4d89-8bec-948539b3a4a15f0be66f-8607-4962-863a-7f820c7be6df.png?preset=med-sq,"On October 13, 1890, eleven law students at Cornell University formed a Law Fraternity, Delta Chi. In 1922, the Fraternity officially went “general,” thus opening its membership to men in all areas of study. In 1929, Delta Chi became the first fraternity to officially abolish hazing practices associated with “hell week.” Since its founding at Cornell, Delta Chi has grown to more than 120 chapters and colonies across the United States and Canada and has initiated more than 118,000 brothers. We are committed to being men of action and actively contributing to the Chico community through volunteering and community service, philanthropic giving to the V Foundation for Cancer Research, and professional and personal development."
Delta Sigma Pi,https://se-infra-imageserver2.azureedge.net/clink/images/1710e080-e832-4db4-9cde-c0ba3531c62002c18fc0-13d3-46c2-b117-08a148a56b0b.jpg?preset=med-sq,"Delta Sigma Pi welcomes you to start the journey of professionalism, service, and scholarship with the California State University, Chico, Epsilon Theta Chapter. As the world’s leading professional fraternity for men and women, Delta Sigma Pi develops principled business leaders for the future by providing a lifetime of opportunity for our members. Members of Delta Sigma Pi gain experiences in professionalism, leadership, ethics, and philanthropy. This all leads to personal development and success—both in the business world and the civic realm. Delta Sigma Pi doesn’t just develop professionals; the Fraternity provides members with relationships, skills, and ideals necessary for them to make a significant impact wherever life leads. Delta Sigma Pi is a lifetime commitment that has a lifetime of opportunities."
Delta Xi Phi,https://se-infra-imageserver2.azureedge.net/clink/images/fc8da888-51dc-4821-a376-10147f4398bfc22aa698-d5fc-4a06-b9af-801d90b1a148.png?preset=med-sq,"Delta Xi Phi Multicultural Sorority, Inc. was founded on April 20, 1994 at the University of Illinois, Urbana-Champaign (UIUC) by fifteen young women. These women recognized the need for an organization that appreciated the different cultures and backgrounds present on college campuses. Some of the significant aspects of Delta Xi Phi til this day include: Increasing Multicultural Awareness, Community Service, Advancement of Women through Higher Education, Friendship and Sisterhood; all these form our five pillars. Delta Xi Phi Multicultural Sorority, Inc. has grown from its founding location in Illinois, from East to West coast and continues to thrive by its representation of members in each chapter. These are women who believe in diversity in its different aspects and continue to pave the path for others to follow. As quoted by Eleanor Roosevelt, “The future belongs to those who believe in the beauty of their dreams”, we believe that our five pillars will inspire others to make a difference and to know what we the women of Delta Xi Phi Multicultural Sorority, Inc. stand for."
Department of Art and Art History,https://se-infra-imageserver2.azureedge.net/clink/images/7b792bea-b1ba-45e3-bcef-31c22c1e6e72860fbd89-4fde-489c-86bc-a0c1df24da3f.png?preset=med-sq,Mission Statement:
Design Build Institute of America,https://se-infra-imageserver2.azureedge.net/clink/images/c46406f3-affd-4285-ae84-fcea31a33a799b74ab1e-8256-4aad-9de6-e6930f37e1a9.jpg?preset=med-sq,"DBIA Student Chapters are dedicated to promoting widespread and successful utilization of the design-build project delivery method in shaping the building environment. To accomplish this goal, they are committed to fostering interdisciplinary education and communication to integrated facilities delivered at the University level."
Digital Media Club,https://se-infra-imageserver2.azureedge.net/clink/images/7e539fc7-f97c-4e01-b62a-b98843aaa48f06cc2ef7-15b7-452f-a162-f4fc7e9c9601.jpg?preset=med-sq,"A club dedicated to the discussion and creation of digital illustration, concept art, and other visual mediums in the goal of improving the visual storytelling skills of its members through discussions and critiques."
Dirt Riders of Chico State,https://se-infra-imageserver2.azureedge.net/clink/images/d143a9cc-b98e-44ba-ae5d-74224532a982139bfacf-3327-43fe-ad3f-4e36896c451c.jpg?preset=med-sq,"In short, we are a campus-recognized club that networks Chico State riders by organizing trips, weekend rides, sponsorship hookups, seminars, races, events, and any other moto related topics! We have members riding dirt on both track and trails, and we encourage riders of all skill levels to come out and join!"
Diversity & Inclusion Office,https://se-infra-imageserver2.azureedge.net/clink/images/073ebf2d-4839-4510-b259-9d05ee32371e904c3d57-674b-484c-8ba1-a61754a2d5fb.jpg?preset=med-sq,"The Office of Diversity and Inclusion is committed to cultivating a culturally inclusive environment where diversity of thought and expression are valued, respected, appreciated and celebrated. It serves as a resource to our campus community by providing information, referrals, advocacy, coordination and support for diversity-related events, activities, initiatives and discussions."
Earthquake Engineering Research Institute CSUC Student Chapter,https://se-infra-imageserver2.azureedge.net/clink/images/9bf9317a-fe39-4671-b86a-75e04e06c3d6b7abcd5a-a14e-46fa-a502-60d8264c3608.png?preset=med-sq,"California State University, Chico provides the fundamentals to become a successful civil engineer and offers specialized structural engineering classes, such as timber design, steel design, reinforced concrete design and earthquake and wind design. As students, we believe that our education and professional preparation will be further enhanced by student led activities that promote structural engineering, specifically related to earthquake engineering. The Earthquake Engineering Research Institute CSU, Chico Student Chapter allows student interest of earthquake engineering to be met with an opportunity to learn the applications of earthquake engineering and apply the fundamentals to technical projects, such as the annual Undergraduate Seismic Design Competition."
Engineers for Alternative Energy,https://se-infra-imageserver2.azureedge.net/clink/images/4a5762c5-cb14-4161-8687-7253810e0749c9ccafad-d3a0-4593-9005-22c81b1518f3.jpg?preset=med-sq,"Engineers for Alternative Energy is a student organization that focuses on the advancement, awareness, and education of all energy technologies by means of guest speakers, funded projects, and facility tours. Each year we compete in a solar powered boat race sponsored by the Sacramento Municipal Utility District. Our goal is to improve methods and the efficiency of production, reduction of waste, and the storing of energy in all industries to make a difference in contributing to cleaner, more efficient energy."
English Graduate Student Council,https://se-infra-imageserver2.azureedge.net/clink/images/27f760ad-9a50-43f0-8435-1472b09d8021edd090e5-7c0b-4ac2-a844-9472745ea519.jpg?preset=med-sq,"The purpose of EGSC is to serve as a forum for the discussion of matters pertaining to the welfare of graduate students enrolled in the Department of English at California State University, Chico. Our goals for the 2017-2018 academic year are: To facilitate the academic progress, growth, and excellence of graduate students; To improve our resourcefulness in serving between the graduate student body and the Department of English, HFA, and the University; To contribute to the recognition and integration of graduate students on campus; To foster unity among graduate students within the English Department as well as at California State University, Chico; And lastly, to build connections with the organizations and councils of other campuses."
Envy Hip Hop Dance Team,https://se-infra-imageserver2.azureedge.net/clink/images/6e767a5e-cfb9-4f8a-a18e-2f619a32630ca23c1946-e66f-423a-94b3-872d35b4fd58.jpg?preset=med-sq,"Envy Hip Hop Dance Team is a Chico State Student-Run organization that reaches out to students who are passionate about hip hop and all other styles of dance. Envy is a cooperative atmosphere, our dance team collaborates to come up with original choreography. We perform at basketball games, fundraisers, and different events on campus, in town, and at other schools. Envy is a co-ed dance team that is open to all levels of dance experience, meaning we do not require any dance history to audition. We target people with a real love for dancing and who are willing to contribute to our positive atmosphere."
Epsilon Sigma Rho,https://se-infra-imageserver2.azureedge.net/clink/images/0ea37945-7afb-42e9-b243-2b65e5b40dd7a07d1945-b8bf-4e15-872c-32c59512de24.jpg?preset=med-sq,"We are a multicultural bRhotherhood seeking to educate and empower men to have an optimistic outlook on diversity and an acceptance of cultural/ethnic differences through education, strength, and respect. Our goal is to promote the awareness of multicultural diversity within collegiate institutions, their surrounding-at-large; and to support the works of our fellow member organization."
Eta Mu Theta,https://se-infra-imageserver2.azureedge.net/clink/images/5d6da357-b2ef-42f8-9f09-46215e81174ceb53e022-bd9f-4796-8eba-ac34d4637715.jpg?preset=med-sq,"We, Eta Mu Theta, seek to empower our brothers and men to be successful leaders and students within the community. Our goals is to promote higher education, bring cultural awareness to our campus and greater community, to understand the different aspects of diversity, and to build a life long unconditional loving brotherhood."
Expressions Chico State Dance Team,https://se-infra-imageserver2.azureedge.net/clink/images/0740b307-48fe-4279-a6f6-f81656615de9134c60d5-55ff-4a8d-84ba-97f2be5e152c.jpg?preset=med-sq,"Expressions is the official Chico State Dance Team. Expressions performs at many athletic events including soccer, volleyball, and basketball games as well as other campus and community events. In the spring, Expressions puts on its annual showcase which consists of student-choreographed dances and performance pieces. Expressions roots are mainly in jazz but we love to include all styles of dance including hip-hop, lyrical, contemporary, musical theatre, and occasionally tap. Expressions is a year-long commitment, and auditions will be held in early September."
Fellowship of Christian Athletes,https://se-infra-imageserver2.azureedge.net/clink/images/0e661443-86c2-4de5-8217-8133f895972d7a3216af-cb52-41f4-8e84-4821f7d32ce3.jpg?preset=med-sq,"We want to provide an open and welcoming environment to learn more about what it means to follow Christ to those interested in athletics. To learn how to honor God in all areas of life, including in the classroom, at home, and on the field."
Field Hockey,https://se-infra-imageserver2.azureedge.net/clink/images/f9692ec3-9fcd-45d8-85b9-41b85ab50fbb91f3abb8-bdf3-4a4c-a96b-4d8b17eb767e.jpg?preset=med-sq,"Field Hockey came back to Chico State in 2003 after about a 10-year hiatus. The club carries roughly 15 members and competes in league play against schools such as UC Davis, Cal Poly, and Santa Clara. With strong high school sponsorship in the area, this club has all the markings of a success in the making."
Filipino American Student Organization (FASO),https://se-infra-imageserver2.azureedge.net/clink/images/c8ba57ca-1ec0-44fc-b9b2-241ba07a2b06764993f1-9b1e-40e7-ab3d-c6d7574d33f5.png?preset=med-sq,"The Filipino American Student Organization was founded in 1994 by a diverse body of students made up of people from both the Filipino culture and those interested in the culture. It is one of the oldest surviving student organization on the Chico State campus and still thriving; doing so by a motto of inclusiveness, activity, and fun. The primary purpose of F.A.S.O is to establish a community in which not only Filipino-American students, but also those interested in embracing the Filipino culture, can come together and share the experience of the rich Filipino culture with everyone through events on and off campus."
Fraternity and Sorority Affairs,https://se-infra-imageserver2.azureedge.net/clink/images/9fb052c0-e9fe-442d-a3b0-ec148466394e4bfd64dc-12e6-4f51-aef6-f9d6f45491aa.png?preset=med-sq,NA
NA,NA,NA
Freshman Leadership Opportunity,https://se-infra-imageserver2.azureedge.net/clink/images/454b69e0-d02c-4ac2-b36b-7c0f60b18a275cb2750d-256f-419f-a97e-c8b61a41fcc5.png?preset=med-sq,"Freshman Leadership Opportunity (FLO) is a program designed specifically for first year students who are looking for ways to get involved with the Chico State campus and community. Students make connections with other students, discover their leadership potential and interests, and find ways to get involved with leadership opportunities across campus. FLO is a year-long program that focuses on making connections and self-awareness during the fall semester and shadowing leaders and choosing your leadership path during the spring semester."
Gamma Phi Beta,https://se-infra-imageserver2.azureedge.net/clink/images/78deed5e-a29a-4a13-afc2-54595da5dd2c64018935-8d68-4ce8-8b49-81d8fa76d5b9.png?preset=med-sq,"The Epsilon Kappa Chapter of Gamma Phi Beta is dedicated to inspiring the highest type of womanhood. Currently, we are 106 members strong & strive to make a positive impact on the Chico State Campus as well as throughout the Chico community. Our chapter was locally founded November 12, 1988 & since then we have thrived in our sisterhood, scholarship, philanthropy & continue to grow. The Gamma Phi Beta sorority is one of the few international sororities with chapters throughout the United States as well as Canada. Our philanthropic mission is to “Build Strong Girls” and we work locally with the Girls On The Run Organization. We plan & host a philanthropic event once a year, Moonball. In this event, we raise money for our foundation & philanthropy throughout the entire week! In addition, the sisters of Gamma Phi Beta participate in Greek Week, Cats in the Community, Chico Walks for Autism, & so much more. Gamma Phi Beta offers our sisters the opportunity for personal & professional growth, leadership, as well as academic excellence. The sisters of the Epsilon Kappa Chapter will be your support system, your cheering section, & your home away from home."
"Gamma Zeta Alpha Fraternity, Inc.",https://se-infra-imageserver2.azureedge.net/clink/images/f9deef11-fac0-4a3c-bd53-66e2b0bdf27a7bc6e0f6-5a8b-41b0-98a3-a30bd88f3f62.png?preset=med-sq,"On December 3, 1987, the West Coast of the United States saw a new movement – the beginning of Latino Fraternities. Brought together with the purpose of addressing the shortcomings that Latino students faced in higher education, fifteen young men here at California State University, Chico came together to form a student organization far beyond their time. With a vision of Academic Excellence, Community Service, and the Maintenance of the Latino Culture through the bonds of brotherhood, these gentlemen brought an institution onto their campus that has become one of the leading Latino student organizations on the West Coast of the United States. Gamma Zeta Alpha Fraternity, Inc. is proud to be the First Latino Interest Fraternity on the West Coast and for two decades, we have become a vehicle for creating the Latino Leaders of tomorrow and as an instrument for promoting the development of Latino males in higher education. Realizing the importance of Academic Excellence, we are a fraternity that emphasizes academic programs that aid in the retention, guidance and overall development of students in higher education so that they may enter the work force with the experience necessary to succeed. Alumni brothers of Gamma Zeta Alpha Fraternity, Inc. have gone on to work in a wide array of professions such as engineering, agriculture, law, medicine, government, high-tech, and business fields."
Gender & Sexuality Equity Coalition,https://se-infra-imageserver2.azureedge.net/clink/images/d1899c27-ff83-4968-b96b-50fa06aeb240b118c5f6-8c94-44e5-aee4-eda9784d2b06.jpg?preset=med-sq,"Our Mission: The Gender & Sexuality Equity Coalition (GSEC) is a student-run activist organization, that strives to empower all students through its three programs: the Women’s Program, the Queer Program, and the Trans Program. The GSEC challenges societal norms that have been used to oppress and marginalize by providing opportunities for leadership, personal development, and referral services. We offer a safe and inclusive space where the campus and community can effectively support the academic mission of the university. The Women’s Program utilizes intersectional Feminist ideologies to offer educational opportunities and programs that are centered in diverse women’s experiences. This program seeks to create and sustain a safe university environment that promotes the personal, educational, and professional growth of all women. Email: gsec.wom@csuchico.edu  The Queer Program seeks to provide holistic LGBTQ+ education, to sustain a safe campus environment, and to cultivate community for all queer people affected by heterosexism (i.e. homophobia, bisexual erasure, etc.). This program is dedicated to promoting accessible, affirming, and empowering spaces for sexually and romantically diverse people of all intersecting identities. Email: gsec.queer@csuchico.edu The Trans Program aims to foster accessibility, community building, and empowerment for all trans and gender diverse people by challenging institutional and interpersonal oppression perpetuated by cissexism and transphobia. This program uses intersectional theory when providing support for people of all gender and sex identities. Email: gsec.trans@csuchico.edu"
German Club,https://se-infra-imageserver2.azureedge.net/clink/images/349ba183-5939-40b2-8982-4ba0f6cceeda3d98d7e4-d22d-4e0e-90d6-9fccb659fc0c.jpg?preset=med-sq,"The German Club offers students opportunities to practice language skills and learn more about German culture. The club hosts events that allow members to engage with others in relevant educational, cultural, and recreational activities and enhances the awareness of German language and culture on campus."
Golden Key International Honor Society,https://se-infra-imageserver2.azureedge.net/clink/images/59560722-21a5-47b7-a7cc-20050cc86baace55d15e-7b00-488f-8e6e-23c0d3aced87.jpg?preset=med-sq,"Golden Key is an honor society open to students from all majors. To be invited a student's GPA must be in the top 15% of their class level. The society's headquarters is in Atlanta, GA and they provide substantial support for local chapters. There are numerous benefits which, all except scholarships, members can utilize after they graduate without limitations."
Graduate Business Association,https://se-infra-imageserver2.azureedge.net/clink/images/1e43b620-e8e2-4314-8b14-d54430cc01872e2bca7c-dc96-482d-ada5-100536ad4d21.jpg?preset=med-sq,"The goal of GBA is to provide current MBA students with the opportunity to gain skills, knowledge and experience with the working environment. Our goal is to utilize our local connections and provide a meaningful learning experience along with the proper tools to help you achieve your dream job after graduation. GBA is committed to providing a foundation for student development, training and growth. If you’re an MBA student looking for an opportunity to expand your horizons and build your resume; you need to join us."
Greek Legacy,https://se-infra-imageserver2.azureedge.net/clink/images/d0031046-bab4-4ecd-a700-f0240ebb9a5825609364-f94b-4908-bc40-29d22ac3eff9.jpg?preset=med-sq,"Greek Legacy is an interdenominational ministry resource on campus that exists to experience the love of Jesus and become the hands and feet of Jesus to the world. We are excited to pursue our goals in the context of leaving a legacy in your organization. The ways we will do this are small groups, one-on-one discipleship, and workshops on fraternity and sorority values. Come and join us no matter where you are on your spiritual journey. We look forward to meeting you and impacting our world together!"
